epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3393.86,0.70751,0.33761,0.00792,0.96465,0.9706,0.9909,0.85167,0.5859,0.23158,0.00826,0.000566027,0.000566027,0.000566027
63,3448.88,0.70623,0.34206,0.00776,0.97421,0.96589,0.99122,0.8561,0.59085,0.22454,0.00845,0.00055188,0.00055188,0.00055188
64,3503.26,0.70802,0.35269,0.00779,0.97154,0.96827,0.99103,0.85315,0.58829,0.22575,0.00846,0.000537733,0.000537733,0.000537733
65,3556.61,0.70466,0.33311,0.0079,0.95987,0.98538,0.9913,0.85386,0.5874,0.21935,0.0084,0.000523586,0.000523586,0.000523586
66,3610.96,0.70213,0.32923,0.00775,0.98422,0.96075,0.9925,0.85762,0.58456,0.21459,0.00829,0.000509438,0.000509438,0.000509438
67,3665.53,0.69908,0.34345,0.00777,0.97398,0.96816,0.99142,0.85378,0.58552,0.22245,0.00827,0.000495291,0.000495291,0.000495291
68,3720.25,0.69115,0.33104,0.00766,0.97436,0.97271,0.9903,0.85289,0.58393,0.2276,0.00818,0.000481144,0.000481144,0.000481144
69,3774.54,0.68268,0.33148,0.0075,0.97351,0.97715,0.99075,0.85469,0.57639,0.2208,0.00803,0.000466997,0.000466997,0.000466997
70,3836.23,0.6874,0.33771,0.00747,0.97388,0.98583,0.99362,0.86263,0.58002,0.20088,0.00815,0.00045285,0.00045285,0.00045285
71,3892.18,0.67366,0.31804,0.0073,0.97607,0.98013,0.99281,0.85995,0.57995,0.20984,0.00812,0.000438703,0.000438703,0.000438703
72,3947.15,0.67867,0.31335,0.00739,0.98262,0.96884,0.99263,0.85888,0.57887,0.20831,0.00808,0.000424556,0.000424556,0.000424556
73,4001.43,0.67633,0.30939,0.00729,0.97787,0.97497,0.99181,0.85567,0.58872,0.21156,0.00845,0.000410409,0.000410409,0.000410409
74,4055.81,0.6745,0.31593,0.00732,0.97554,0.97084,0.99142,0.8564,0.57425,0.21655,0.00804,0.000396262,0.000396262,0.000396262
75,4110.83,0.66725,0.30347,0.00723,0.97451,0.98117,0.99189,0.86194,0.57335,0.20474,0.00796,0.000382115,0.000382115,0.000382115
76,4165.38,0.67115,0.31183,0.00735,0.97986,0.98154,0.99261,0.85864,0.57508,0.20711,0.00803,0.000367967,0.000367967,0.000367967
77,4219.84,0.67391,0.30106,0.00738,0.98018,0.96843,0.99282,0.86138,0.57738,0.20946,0.00808,0.00035382,0.00035382,0.00035382
78,4274.03,0.66878,0.30583,0.00729,0.98506,0.97122,0.99179,0.86198,0.56878,0.21275,0.00788,0.000339673,0.000339673,0.000339673
79,4328.62,0.66241,0.30871,0.00713,0.98042,0.97534,0.99231,0.8619,0.57195,0.20841,0.00794,0.000325526,0.000325526,0.000325526
80,4383.29,0.66232,0.30633,0.0072,0.99118,0.9683,0.9918,0.86252,0.57412,0.21367,0.00795,0.000311379,0.000311379,0.000311379
81,4438.16,0.65932,0.29868,0.0072,0.97834,0.97669,0.99213,0.861,0.56942,0.21165,0.00788,0.000297232,0.000297232,0.000297232
82,4492.81,0.66353,0.30609,0.00723,0.96385,0.97717,0.99186,0.86682,0.5705,0.21856,0.00795,0.000283085,0.000283085,0.000283085
83,4545.62,0.65982,0.29214,0.00726,0.97676,0.97348,0.9926,0.86551,0.57153,0.20907,0.00795,0.000268938,0.000268938,0.000268938
84,4599.87,0.65888,0.29897,0.0071,0.98015,0.97575,0.99278,0.86431,0.5712,0.20754,0.00797,0.000254791,0.000254791,0.000254791
85,4654.36,0.65603,0.3003,0.00718,0.97069,0.97837,0.99299,0.86368,0.57128,0.20896,0.00796,0.000240644,0.000240644,0.000240644
86,4709.8,0.64412,0.29384,0.00687,0.97566,0.97167,0.99193,0.86414,0.56499,0.21165,0.00787,0.000226497,0.000226497,0.000226497
87,4763.05,0.64944,0.29275,0.00702,0.97303,0.97654,0.99187,0.86378,0.56436,0.21399,0.00782,0.000212349,0.000212349,0.000212349
88,4817,0.6438,0.29715,0.00715,0.97712,0.97833,0.9915,0.86605,0.56423,0.2118,0.00782,0.000198202,0.000198202,0.000198202
89,4870.96,0.64126,0.28502,0.00686,0.98308,0.97544,0.99276,0.86774,0.56375,0.20986,0.00779,0.000184055,0.000184055,0.000184055
90,4925.77,0.63411,0.2815,0.00685,0.97975,0.97707,0.99287,0.86773,0.56488,0.20807,0.00776,0.000169908,0.000169908,0.000169908
91,5007.34,0.50823,0.16557,0.00656,0.97697,0.97529,0.9916,0.85842,0.57256,0.22095,0.00793,0.000155761,0.000155761,0.000155761
92,5059.74,0.50146,0.16015,0.00646,0.97636,0.9724,0.99196,0.8608,0.57055,0.22521,0.00786,0.000141614,0.000141614,0.000141614
93,5114.08,0.50337,0.15853,0.00637,0.97902,0.97135,0.99207,0.8625,0.56941,0.22053,0.00781,0.000127467,0.000127467,0.000127467
94,5168.84,0.49456,0.15482,0.0063,0.98414,0.97028,0.99194,0.86402,0.5692,0.21899,0.00782,0.00011332,0.00011332,0.00011332
95,5223.01,0.49502,0.15589,0.0063,0.9813,0.97009,0.99195,0.86815,0.56936,0.21769,0.0078,9.91726e-05,9.91726e-05,9.91726e-05
96,5275.25,0.48688,0.15742,0.00613,0.985,0.96941,0.99229,0.86213,0.57177,0.2148,0.00782,8.50255e-05,8.50255e-05,8.50255e-05
97,5329.36,0.48941,0.15445,0.00624,0.98421,0.97119,0.99238,0.86293,0.57099,0.21359,0.00782,7.08784e-05,7.08784e-05,7.08784e-05
98,5382.81,0.4831,0.15264,0.00613,0.97955,0.97616,0.99224,0.86456,0.56984,0.21592,0.00784,5.67313e-05,5.67313e-05,5.67313e-05
99,5436.43,0.48569,0.15092,0.00613,0.98063,0.97113,0.99185,0.86389,0.56724,0.21654,0.00779,4.25842e-05,4.25842e-05,4.25842e-05
100,5488.31,0.48451,0.15199,0.00605,0.98188,0.97329,0.99207,0.86488,0.56732,0.21369,0.00776,2.84371e-05,2.84371e-05,2.84371e-05
